Item ID,Title,Click potential,Feed label,Language,Item status,Channels,Issue title,Issue additional information,Traffic type,Country,Issue severity
superstitionmtn-acrylic-20x40,Superstitionmtn Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-20x40,Buffalo Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Video Ads,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-20x40,Buffalo Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Discovery Ads,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-20x40,Buffalo Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Shopping ads,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-20x40,Buffalo Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Free listings,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-20x40,Buffalo Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
monument-costco-acrylic-20x40,Monument Costco Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
monument-costco-acrylic-20x40,Monument Costco Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
monument-costco-acrylic-20x40,Monument Costco Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
monument-costco-acrylic-20x40,Monument Costco Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
monument-costco-acrylic-20x40,Monument Costco Print - Acrylic 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x30,Utahbigarch Print - Metal 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x30,Utahbigarch Print - Metal 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x30,Utahbigarch Print - Metal 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x30,Utahbigarch Print - Metal 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x30,Utahbigarch Print - Metal 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x40,Utahbigarch Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x40,Utahbigarch Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x40,Utahbigarch Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x40,Utahbigarch Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
utahbigarch-metal-20x40,Utahbigarch Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-16x24,Buffalo Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Free listings,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-16x24,Buffalo Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Shopping ads,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-16x24,Buffalo Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Discovery Ads,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-16x24,Buffalo Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-16x24,Buffalo Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Video Ads,United States,SEVERITY_DISAPPROVED
buffalo-metal-24x36,Buffalo Print - Metal 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Free listings,United States,SEVERITY_DISAPPROVED
buffalo-metal-24x36,Buffalo Print - Metal 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Shopping ads,United States,SEVERITY_DISAPPROVED
buffalo-metal-24x36,Buffalo Print - Metal 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Discovery Ads,United States,SEVERITY_DISAPPROVED
buffalo-metal-24x36,Buffalo Print - Metal 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
buffalo-metal-24x36,Buffalo Print - Metal 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Video Ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-24x36,Antelopecanyon Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-24x36,Antelopecanyon Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-24x36,Antelopecanyon Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-24x36,Antelopecanyon Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
antelopecanyon-acrylic-24x36,Antelopecanyon Print - Acrylic 24x36,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
superstitionmtn-acrylic-20x30,Superstitionmtn Print - Acrylic 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
superstitionmtn-acrylic-20x30,Superstitionmtn Print - Acrylic 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
superstitionmtn-acrylic-20x30,Superstitionmtn Print - Acrylic 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
superstitionmtn-acrylic-20x30,Superstitionmtn Print - Acrylic 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
